01/01/23,"The BlackCat ransomware gang publish the data of a compromised a company in financial services, and create a replica of the victim's site to publish stolen data on it.",Malware,?
01/01/23,Toyota Kirloskar Motor reports a data breach.,Unknown,IN
02/01/23,A new phishing campaign is exploiting the increasing interest of security community members towards Flipper Zero to steal their personal information and cryptocurrency.,Account Takeover,>1
02/01/23,Researchers from Security Joes reveal that threat actors are using a new version of the Raspberry Robin worm to target Spanish and Portuguese financial and insurance institutions.,Malware,ES-PT
02/01/23,"The Kelberman Center, a provider of services to individuals with autism, notifies 3,501 patients about a breach of employee email accounts.",Account Takeover,US
02/01/23,"The Hive ransomware gang adds another medical entity to its leak site. This time, it’s Centro Médico Virgen De La Caridad health system in Cartagena, Spain.",Malware,ES
02/01/23,Anonymous Cuba disables some pages of the University of Havana departments.,DDoS,CU
03/01/23,Researchers from Qualys reveal that the threat actors behind the BitRAT malware campaign have been using the stolen information of bank customers in Colombia as lures in phishing emails designed to infect targets.,Malware,>1
03/01/23,Bristol Community College is hit with a ransomware attack.,Malware,US
03/01/23,The Swansea Public Schools institution is also hit with a ransomware attack.,Malware,US
03/01/23,"The Saint Gheorghe Recovery Hospital in Botoşani, northeastern Romania, is hit by a ransomware attack that impacts its medical operations.",Malware,RO
03/01/23,"Circles of Care files notice of a data breach after confirming that an unauthorized party was able to access, and possibly steal, confidential patient information from the organization’s computer network.",Unknown,US
03/01/23,"Live Oak Surgery Center discloses that two employee email accounts were compromised by an unauthorized third party, which in turn potentially caused the information of 5,264 patients to be viewed or taken.",Account Takeover,US
03/01/23,University of Miami Health System (UHealth) announces that the protected health information of 973 patients has potentially been compromised as a result of an employee’s personal data breach.,Account Takeover,US
03/01/23,"An anonymous DeFi user falls victim to a phishing attack and loses $3.4 million in GMX, the native token of decentralized trading protocol GMX.",Account Takeover,?
04/01/23,Researchers from K7 Security Labs discover a new campaign where attackers from China are abusing the Windows Problem Reporting (WerFault.exe) error reporting tool for Windows to load the Pupy RAT remote administration tool using a DLL sideloading technique.,Malware,>1
04/01/23,A threat actor released a data set consisting of 200 million Twitter profiles for approximately $2.,API vulnerability,US
04/01/23,Researchers from AhnLab discover a new Linux malware downloader created using SHC (Shell Script Compiler) infecting systems with Monero cryptocurrency miners and DDoS IRC bots.,Malware,>1
04/01/23,"CircleCI, a software development service discloses a security incident and is urging users to rotate their secrets.",Malware,US
04/01/23,"CVE-2023-22952, a recently discovered vulnerability targeting SugarCRM, is exploited to deliver malware.",Vulnerability,>1
04/01/23,OneAmerica Financial Partners files notice of a data breach after discovering that an email phishing attack compromised the security of certain personal information in the company’s possession.,Account Takeover,US
04/01/23,The Health Sector Cybersecurity Coordination Center (HC3) warns that the Clop (AKA Cl0p) ransomware group has reportedly been infecting files that look like medical documents and subsequently requesting medical appointments in hopes of getting victims to open the malicious files.,Malware,US
04/01/23,The website of Shibuya Ward (Municipality of Shibuya) is taken down by a DDoS attack.,DDoS,JP
05/01/23,Moldova’s government institutions are hit by a wave of phishing attacks after it pledged support for Ukraine in its defense against Russia.,Account Takeover,MD
05/01/23,Researchers from Broadcom/Symantec discover a new campaign by the Bluebottle threat actor using a signed Windows driver in attacks on banks in French-speaking countries.,Malware,>1
05/01/23,"Researchers from Palo Alto Networks discover a new wave of attacks of the PurpleUrchin campaign from the Automated Libra threat actor, aimed to use cloud platform resources for cryptocurrency mining.",Freejacking,>1
05/01/23,"Researchers from ThreatFabric reveal a sudden increase in SpyNote infections in the final quarter of 2022, attributed to a source code leak of one of its latest versions.",Malware,>1
05/01/23,"Researchers from Phylum discover six malicious packages on PyPI, the Python Package Index, installing PoweRAT, an information-stealing and RAT malware, using Cloudflare Tunnel to bypass firewall restrictions for remote access.",Malware,>1
05/01/23,"Researchers from Microsoft reveal that the Kinsing malware is now actively breaching Kubernetes clusters by leveraging known weaknesses in container images and misconfigured, exposed PostgreSQL containers.",Misconfiguration,>1
05/01/23,Researchers from S-RM reveal the details of a Lorenz ransomware attack where the threat actors used a 5-month-old web shell as a way into a victim’s network exploiting the CVE-2022-29499 Mitel critical vulnerability.,Malware,?
05/01/23,Maternal & Family Health Services discloses that social Security numbers and other sensitive data was stolen by cybercriminals in a ransomware attack.,Malware,US
05/01/23,"Researchers from Mandiant reveal the details of an attack against a Ukrainian organization, carried out by the Russian state-sponsored threat actor Turla, and leveraging a legacy Andromeda malware likely deployed by other hackers via an infected USB drive.",Malware,UA
05/01/23,Researchers from Cyble uncover a phishing campaign targeting Zoom users to deliver the IcedID malware.,Malware,>1
05/01/23,"Threat actors have been targeting streamers playing Guilty Gear Strive, a popular fighting title, crashing their game mid-stream and forcing the players to stop the game process from the task manager in Windows.",DDoS,>1
05/01/23,Researchers from eSentire detect a ransomware attack against a Canadian-based college exploiting the CVE-2022-40684 Fortinet vulnerability.,CVE-2022-40684 vulnerability,CA
05/01/23,Researchers from eSentire detect a ransomware attack against a global investment firm exploiting the CVE-2022-40684 Fortinet vulnerability.,CVE-2022-40684 vulnerability,?
05/01/23,Researchers from Check Point discover a new campaign using new toolsets.,Malware,EC
05/01/23,Researchers from Check Point discover a new campaign using a modified version of QuasarRAT against Colombia based organizations.,Malware,CO
05/01/23,Researchers from Fortinet reveal the details of a new ransomware variant dubbed Monti.,Malware,>1
05/01/23,Researchers from Fortinet reveal the details of a new ransomware variant dubbed BlackHunt.,Malware,>1
05/01/23,"Northern Ireland secretary Chris Heaton-Harris apologises after he said his Twitter account was hacked and ""posted some deeply unpleasant stuff"".",Account Takeover,UK
06/01/23,Air France and KLM inform Flying Blue customers that some of their personal information was exposed after their accounts were breached.,Unknown,FR
06/01/23,"American fast-food restaurant chain Chick-fil-A investigates what it described as ""suspicious activity"" linked to some of its customers' accounts.",Credential Stuffing,US
06/01/23,Researchers from AhnLab discover that threat actors are using a well-crafted Pokemon NFT card game website to distribute the NetSupport remote access tool and take control over victims' devices.,Malware,>1
06/01/23,"Researchers from Sekoia discover a massive campaign using over 1,300 domains to impersonate the official AnyDesk site for pushing the Vidar and Raccoon information-stealing malware.",Malware,>1
06/01/23,The Russian group Cold River targeted the Brookhaven Nuclear Laboratory with a spear phishing campaign creating fake login pages.,Account Takeover,US
06/01/23,The Russian group Cold River targeted the Argonne Nuclear Laboratory with a spear phishing campaign creating fake login pages.,Account Takeover,US
06/01/23,The Russian group Cold River targeted the Lawrence Livermore Nuclear Laboratory with a spear phishing campaign creating fake login pages.,Account Takeover,US
06/01/23,"The Hive ransomware gang leaks 550 GB of data stolen from Consulate Health Care, including customer and employee PII data.",Malware,US
06/01/23,Fidelity Building Services Group files notice of a data breach following an incident in which an unauthorized party was able to access confidential information that had been entrusted to the company.,Unknown,US
06/01/23,SAIF Corporation files notice of a data breach after the company experienced what it characterized as a “brief period of unauthorized access” to its computer network.,Unknown,US
06/01/23,The Vice Society ransomware group leaks the data of 14 schools including the Carmel College.,Malware,UK
06/01/23,The Vice Society ransomware group leaks the data of 14 schools including the Durham Johnston Comprehensive School.,Malware,UK
06/01/23,The Vice Society ransomware group leaks the data of 14 schools including the Frances King School of English.,Malware,UK
06/01/23,The Vice Society ransomware group leaks the data of 14 schools including the Gateway College.,Malware,UK
06/01/23,The Vice Society ransomware group leaks the data of 14 schools including the Holy Family RC + CE College.,Malware,UK
06/01/23,The Vice Society ransomware group leaks the data of 14 schools including the Lampton School.,Malware,UK
06/01/23,The Vice Society ransomware group leaks the data of 14 schools including the Mossbourne Federation.,Malware,UK
06/01/23,The Vice Society ransomware group leaks the data of 14 schools including the Pilton Community College.,Malware,UK
06/01/23,The Vice Society ransomware group leaks the data of 14 schools including the Samuel Ryder Academy.,Malware,UK
06/01/23,The Vice Society ransomware group leaks the data of 14 schools including the School of Oriental and African Studies.,Malware,UK
06/01/23,The Vice Society ransomware group leaks the data of 14 schools including the St Paul's Catholic College.,Malware,UK
06/01/23,The Vice Society ransomware group leaks the data of 14 schools including the Test Valley School.,Malware,UK
06/01/23,The Vice Society ransomware group leaks the data of 14 schools including the De Montfort School.,Malware,UK
06/01/23,"Researchers from Uptycs discover a new campaign targeting users in Italy, and delivering targeting phishing emails disguised as invoices, designed to deploy an information stealer on compromised Windows systems.",Malware,IT
06/01/23,"The ALPHV AKA BlackCat ransomware group, claims to have attacked Grupo Estrategas EMM.",Malware,MX
06/01/23,The Cl0p ransomware group adds Universidad De La Salle to its leak page,Malware,CO
06/01/23,The BL00DY Ransomware gang claims an attack on the Venezuelan textile company Telas Palo Grande.,Malware,VE
06/01/23,"SB Tactical, one of the most popular AR-15 pistol brace manufacturers, appears to have been hit with a data breach, where customer data, including names, addresses, and credit card information, was leaked online.",Unknown,US
